,continent,country,year,suicides_no,population,gdp_per_capita ($),s_rate
0,Europe,Albania,1987,73,2709600,796,2.69
1,Europe,Albania,1988,63,2764300,769,2.28
2,Europe,Albania,1989,68,2803100,833,2.43
3,Europe,Albania,1992,47,2822500,251,1.67
4,Europe,Albania,1993,73,2807300,437,2.6
5,Europe,Albania,1994,50,2849300,697,1.75
6,Europe,Albania,1995,88,2903400,835,3.03
7,Europe,Albania,1996,89,2940200,1127,3.03
8,Europe,Albania,1997,170,2977300,793,5.71
9,Europe,Albania,1998,154,3012700,899,5.11
10,Europe,Albania,1999,139,3029700,1127,4.59
11,Europe,Albania,2000,54,2796300,1299,1.93
12,Europe,Albania,2001,119,2799349,1451,4.25
13,Europe,Albania,2002,133,2818839,1573,4.72
14,Europe,Albania,2003,124,2843929,2021,4.36
15,Europe,Albania,2004,146,2874991,2544,5.08
16,Europe,Albania,2005,0,2783320,2931,0.0
17,Europe,Albania,2006,0,2780176,3235,0.0
18,Europe,Albania,2007,124,2770344,3863,4.48
19,Europe,Albania,2008,160,2757059,4672,5.8
20,Europe,Albania,2009,0,2745735,4387,0.0
21,Europe,Albania,2010,96,2736025,4359,3.51
22,N. america,Antigua and Barbuda,1985,0,62574,3850,0.0
23,N. america,Antigua and Barbuda,1986,0,61270,4740,0.0
24,N. america,Antigua and Barbuda,1987,0,60261,5595,0.0
25,N. america,Antigua and Barbuda,1988,0,59564,6693,0.0
26,N. america,Antigua and Barbuda,1989,0,59238,7407,0.0
27,N. america,Antigua and Barbuda,1990,1,59334,7744,1.69
28,N. america,Antigua and Barbuda,1991,0,60394,7976,0.0
29,N. america,Antigua and Barbuda,1992,0,61741,8087,0.0
30,N. america,Antigua and Barbuda,1993,1,63315,8453,1.58
31,N. america,Antigua and Barbuda,1994,0,65044,9062,0.0
32,N. america,Antigua and Barbuda,1995,0,66846,8636,0.0
33,N. america,Antigua and Barbuda,1998,0,72225,10078,0.0
34,N. america,Antigua and Barbuda,1999,0,73832,10378,0.0
35,N. america,Antigua and Barbuda,2000,2,75326,11021,2.66
36,N. america,Antigua and Barbuda,2001,2,76497,10468,2.61
37,N. america,Antigua and Barbuda,2002,0,77588,10499,0.0
38,N. america,Antigua and Barbuda,2003,1,78658,10878,1.27
39,N. america,Antigua and Barbuda,2004,2,79722,11535,2.51
40,N. america,Antigua and Barbuda,2005,0,80809,12649,0.0
41,N. america,Antigua and Barbuda,2006,0,81973,14114,0.0
42,N. america,Antigua and Barbuda,2007,1,83131,15775,1.2
43,N. america,Antigua and Barbuda,2008,0,84273,16238,0.0
44,N. america,Antigua and Barbuda,2009,0,85405,14335,0.0
45,N. america,Antigua and Barbuda,2012,0,88703,13657,0.0
46,N. america,Antigua and Barbuda,2013,0,89779,13287,0.0
47,N. america,Antigua and Barbuda,2014,0,90837,14093,0.0
48,N. america,Antigua and Barbuda,2015,1,91889,14853,1.09
49,S. america,Argentina,1985,1988,27090800,3264,7.34
50,S. america,Argentina,1986,2284,27244400,4072,8.38
51,S. america,Argentina,1987,2286,27599400,4026,8.28
52,S. america,Argentina,1988,2354,28308000,4458,8.32
53,S. america,Argentina,1989,2247,28702000,2670,7.83
54,S. america,Argentina,1990,2140,29091100,4859,7.36
55,S. america,Argentina,1991,1951,29623000,6404,6.59
56,S. america,Argentina,1992,2184,30045400,7615,7.27
57,S. america,Argentina,1993,2230,30477500,7768,7.32
58,S. america,Argentina,1994,2241,30911200,8328,7.25
59,S. america,Argentina,1995,2204,31345400,8232,7.03
60,S. america,Argentina,1996,2229,31780700,8563,7.01
61,S. america,Argentina,1997,2184,32333781,9057,6.75
62,S. america,Argentina,1998,2347,32757259,9126,7.16
63,S. america,Argentina,1999,2423,33174862,8546,7.3
64,S. america,Argentina,2000,2774,33585533,8462,8.26
65,S. america,Argentina,2001,3132,34010946,7900,9.21
66,S. america,Argentina,2002,3162,34407507,2840,9.19
67,S. america,Argentina,2003,3289,34785907,3668,9.45
68,S. america,Argentina,2004,3121,35162945,4683,8.88
69,S. america,Argentina,2005,3058,35550617,5590,8.6
70,S. america,Argentina,2006,3108,35918886,6475,8.65
71,S. america,Argentina,2007,2946,36315492,7918,8.11
72,S. america,Argentina,2008,3059,36733520,9843,8.33
73,S. america,Argentina,2009,2884,37158001,8961,7.76
74,S. america,Argentina,2010,2943,37578454,11273,7.83
75,S. america,Argentina,2011,2912,38015739,13946,7.66
76,S. america,Argentina,2012,3248,38441778,14203,8.45
77,S. america,Argentina,2013,2987,38859125,14206,7.69
78,S. america,Argentina,2014,3231,39276555,13400,8.23
79,S. america,Argentina,2015,3073,39699624,14981,7.74
80,Europe,Armenia,1990,93,2983700,756,3.12
81,Europe,Armenia,1991,80,3230800,640,2.48
82,Europe,Armenia,1992,83,3308700,385,2.51
83,Europe,Armenia,1993,106,3366600,357,3.15
84,Europe,Armenia,1994,112,3402500,387,3.29
85,Europe,Armenia,1995,130,3443200,426,3.78
86,Europe,Armenia,1996,87,3486300,458,2.5
87,Europe,Armenia,1997,77,3526700,465,2.18
88,Europe,Armenia,1998,66,3558000,532,1.85
89,Europe,Armenia,1999,67,3580700,515,1.87
90,Europe,Armenia,2000,61,3606500,530,1.69
91,Europe,Armenia,2001,60,3610516,587,1.66
92,Europe,Armenia,2002,74,3014844,788,2.45
93,Europe,Armenia,2003,59,3024366,928,1.95
94,Europe,Armenia,2006,78,2764396,2310,2.82
95,Europe,Armenia,2007,71,2735313,3366,2.6
96,Europe,Armenia,2008,63,3045391,3829,2.07
97,Europe,Armenia,2009,53,2689695,3215,1.97
98,Europe,Armenia,2010,73,2676225,3460,2.73
99,Europe,Armenia,2011,67,2670366,3798,2.51
100,Europe,Armenia,2012,79,2814300,3773,2.81
101,Europe,Armenia,2013,67,2810664,3957,2.38
102,Europe,Armenia,2014,58,2803029,4142,2.07
103,Europe,Armenia,2015,74,2795335,3775,2.65
104,Europe,Armenia,2016,67,2400033,3788,2.79
105,S. america,Aruba,1995,8,73581,17949,10.87
106,S. america,Aruba,1999,9,81934,21027,10.98
107,S. america,Aruba,2000,10,83888,22333,11.92
108,S. america,Aruba,2001,4,86045,22317,4.65
109,S. america,Aruba,2002,9,88284,21987,10.19
110,S. america,Aruba,2003,2,90457,22345,2.21
111,S. america,Aruba,2004,8,92335,24133,8.66
112,S. america,Aruba,2005,10,93728,24870,10.67
113,S. america,Aruba,2006,9,94508,25622,9.52
114,S. america,Aruba,2007,8,94814,27672,8.44
115,S. america,Aruba,2008,4,94814,29447,4.22
116,S. america,Aruba,2009,4,94795,26361,4.22
117,S. america,Aruba,2010,7,95006,25974,7.37
118,S. america,Aruba,2011,9,95488,27066,9.43
119,Oceania,Australia,1985,1861,14562500,12374,12.78
120,Oceania,Australia,1986,2044,14809800,12288,13.8
121,Oceania,Australia,1987,2164,15046500,12564,14.38
122,Oceania,Australia,1988,2172,15312100,15393,14.18
123,Oceania,Australia,1989,2066,15570600,19223,13.27
124,Oceania,Australia,1990,2202,15807000,19665,13.93
125,Oceania,Australia,1991,2288,16012100,20320,14.29
126,Oceania,Australia,1992,2251,16203500,20050,13.89
127,Oceania,Australia,1993,2038,16370000,19030,12.45
128,Oceania,Australia,1994,2283,16549400,19469,13.8
129,Oceania,Australia,1995,2170,16766300,21902,12.94
130,Oceania,Australia,1996,2426,17015100,23526,14.26
131,Oceania,Australia,1997,2646,17221300,25234,15.36
132,Oceania,Australia,1998,2632,17421730,22897,15.11
133,Oceania,Australia,1999,2488,17641702,22016,14.1
134,Oceania,Australia,2000,2391,17874410,23219,13.38
135,Oceania,Australia,2001,2458,18130883,20860,13.56
136,Oceania,Australia,2002,2319,18370058,21474,12.62
137,Oceania,Australia,2003,2156,18608029,25059,11.59
138,Oceania,Australia,2004,2114,18854551,32454,11.21
139,Oceania,Australia,2006,2117,19109246,39014,11.08
140,Oceania,Australia,2007,2229,19734430,43171,11.29
141,Oceania,Australia,2008,2341,20120312,52315,11.64
142,Oceania,Australia,2009,2337,20529317,45128,11.38
143,Oceania,Australia,2010,2420,20847547,54887,11.61
144,Oceania,Australia,2011,2392,20881910,66770,11.45
145,Oceania,Australia,2012,2580,21238909,72669,12.15
146,Oceania,Australia,2013,2608,21600180,72856,12.07
147,Oceania,Australia,2014,2891,21927587,66809,13.18
148,Oceania,Australia,2015,3027,22240785,60656,13.61
149,Europe,Austria,1985,2091,7110115,9759,29.41
150,Europe,Austria,1986,2139,7119149,13911,30.05
151,Europe,Austria,1987,2069,7130006,17415,29.02
152,Europe,Austria,1988,1851,7144410,18663,25.91
153,Europe,Austria,1989,1898,7177666,18544,26.44
154,Europe,Austria,1990,1825,7231353,23020,25.24
155,Europe,Austria,1991,1769,7299728,23808,24.23
156,Europe,Austria,1992,1759,7375368,26450,23.85
157,Europe,Austria,1993,1704,7433569,25611,22.92
158,Europe,Austria,1994,1776,7462552,27274,23.8
159,Europe,Austria,1995,1788,7477030,32237,23.91
160,Europe,Austria,1996,1779,7493706,31660,23.74
161,Europe,Austria,1997,1592,7512589,28325,21.19
162,Europe,Austria,1998,1559,7533519,28972,20.69
163,Europe,Austria,1999,1555,7561609,28722,20.56
164,Europe,Austria,2000,1588,7592073,25922,20.92
165,Europe,Austria,2001,1489,7634560,25848,19.5
166,Europe,Austria,2002,1553,7683162,27772,20.21
167,Europe,Austria,2003,1456,7722033,33889,18.86
168,Europe,Austria,2004,1422,7773105,38711,18.29
169,Europe,Austria,2005,1399,7827461,40367,17.87
170,Europe,Austria,2006,1297,7869269,42698,16.48
171,Europe,Austria,2007,1285,7897272,49218,16.27
172,Europe,Austria,2008,1267,7925258,54294,15.99
173,Europe,Austria,2009,1278,7946894,50356,16.08
174,Europe,Austria,2010,1264,7968421,49181,15.86
175,Europe,Austria,2011,1288,7995146,53923,16.11
176,Europe,Austria,2012,1276,8031276,50979,15.89
177,Europe,Austria,2013,1291,8079615,53229,15.98
178,Europe,Austria,2014,1314,8141165,54278,16.14
179,Europe,Austria,2015,1251,8219386,46484,15.22
180,Europe,Austria,2016,1201,7484629,46976,16.05
181,Europe,Azerbaijan,1990,114,6156800,1439,1.85
182,Europe,Azerbaijan,1991,134,6290600,1398,2.13
183,Europe,Azerbaijan,1992,144,6370400,784,2.26
184,Europe,Azerbaijan,1993,119,6442600,617,1.85
185,Europe,Azerbaijan,1994,47,6521200,508,0.72
186,Europe,Azerbaijan,1995,49,6605900,462,0.74
187,Europe,Azerbaijan,1996,69,6668100,476,1.03
188,Europe,Azerbaijan,1997,107,6711200,590,1.59
189,Europe,Azerbaijan,1998,56,7044400,631,0.79
190,Europe,Azerbaijan,1999,54,7106400,645,0.76
191,Europe,Azerbaijan,2000,62,7415250,711,0.84
192,Europe,Azerbaijan,2001,317,7518000,759,4.22
193,Europe,Azerbaijan,2002,92,7605700,820,1.21
194,Europe,Azerbaijan,2003,129,7674400,948,1.68
195,Europe,Azerbaijan,2004,108,7738250,1122,1.4
196,Europe,Azerbaijan,2007,55,7921100,4172,0.69
197,N. america,Bahamas,1985,1,203700,11393,0.49
198,N. america,Bahamas,1987,3,220900,12286,1.36
199,N. america,Bahamas,1993,7,243500,12698,2.87
200,N. america,Bahamas,1994,3,249300,13073,1.2
201,N. america,Bahamas,1995,2,254500,13473,0.79
202,N. america,Bahamas,1996,3,252438,14297,1.19
203,N. america,Bahamas,1997,2,255956,24740,0.78
204,N. america,Bahamas,1998,3,260125,26269,1.15
205,N. america,Bahamas,1999,6,264791,29019,2.27
206,N. america,Bahamas,2000,11,269738,29942,4.08
207,N. america,Bahamas,2001,1,276140,30122,0.36
208,N. america,Bahamas,2002,3,282555,31432,1.06
209,N. america,Bahamas,2003,1,288888,30704,0.35
210,N. america,Bahamas,2004,2,295237,30671,0.68
211,N. america,Bahamas,2005,4,301763,32596,1.33
212,N. america,Bahamas,2006,2,308499,32957,0.65
213,N. america,Bahamas,2007,5,314989,33710,1.59
214,N. america,Bahamas,2008,4,321447,32746,1.24
215,N. america,Bahamas,2009,6,327813,30450,1.83
216,N. america,Bahamas,2010,10,333869,30239,3.0
217,N. america,Bahamas,2011,4,338383,29761,1.18
218,N. america,Bahamas,2012,5,343558,31204,1.46
219,N. america,Bahamas,2013,5,348959,30455,1.43
220,Asia,Bahrain,1985,11,365900,9980,3.01
221,Asia,Bahrain,1987,9,363900,9321,2.47
222,Asia,Bahrain,1988,14,389700,9501,3.59
223,Asia,Bahrain,1997,0,529754,11985,0.0
224,Asia,Bahrain,1998,0,546008,11325,0.0
225,Asia,Bahrain,1999,17,565762,11703,3.0
226,Asia,Bahrain,2000,29,590594,15345,4.91
227,Asia,Bahrain,2001,23,624083,14383,3.69
228,Asia,Bahrain,2002,25,661010,14572,3.78
229,Asia,Bahrain,2003,34,702913,15756,4.84
230,Asia,Bahrain,2004,42,751559,17497,5.59
231,Asia,Bahrain,2005,42,819540,19485,5.12
232,Asia,Bahrain,2006,28,888543,20826,3.15
233,Asia,Bahrain,2007,40,964770,22524,4.15
234,Asia,Bahrain,2008,43,1024110,25106,4.2
235,Asia,Bahrain,2009,36,1092922,20988,3.29
236,Asia,Bahrain,2010,19,1139160,22572,1.67
237,Asia,Bahrain,2011,18,1103462,26078,1.63
238,Asia,Bahrain,2012,19,1201778,25587,1.58
239,Asia,Bahrain,2013,5,1214492,26793,0.41
240,Asia,Bahrain,2014,9,1213966,27503,0.74
241,N. america,Barbados,1985,7,231000,6137,3.03
242,N. america,Barbados,1986,8,231600,6720,3.45
243,N. america,Barbados,1987,6,233700,7333,2.57
244,N. america,Barbados,1988,12,234800,7763,5.11
245,N. america,Barbados,1989,16,236000,8541,6.78
246,N. america,Barbados,1990,16,237000,8537,6.75
247,N. america,Barbados,1991,17,237000,8469,7.17
248,N. america,Barbados,1992,14,240000,8129,5.83
249,N. america,Barbados,1993,16,239600,8540,6.68
250,N. america,Barbados,1994,14,240300,8953,5.83
251,N. america,Barbados,1995,17,241200,9378,7.05
252,N. america,Barbados,2000,10,251133,12430,3.98
253,N. america,Barbados,2001,2,252406,12348,0.79
254,N. america,Barbados,2002,0,253353,12511,0.0
255,N. america,Barbados,2003,0,254122,12887,0.0
256,N. america,Barbados,2004,3,254925,13786,1.18
257,N. america,Barbados,2005,1,255889,15230,0.39
258,N. america,Barbados,2006,9,256883,16531,3.5
259,N. america,Barbados,2007,0,258083,17528,0.0
260,N. america,Barbados,2008,1,259414,17760,0.39
261,N. america,Barbados,2009,5,260718,17007,1.92
262,N. america,Barbados,2010,3,261927,17034,1.15
263,N. america,Barbados,2011,0,263203,17708,0.0
264,N. america,Barbados,2012,0,264270,17620,0.0
265,N. america,Barbados,2013,0,265165,17395,0.0
266,Europe,Belarus,1990,2085,9408800,2301,22.16
267,Europe,Belarus,1991,2169,9476200,1899,22.89
268,Europe,Belarus,1992,2424,9570900,1780,25.33
269,Europe,Belarus,1993,2885,9641100,1689,29.92
270,Europe,Belarus,1994,3153,9653900,1547,32.66
271,Europe,Belarus,1995,3203,9673600,1444,33.11
272,Europe,Belarus,1996,3627,9684800,1524,37.45
273,Europe,Belarus,1997,3526,9692100,1458,36.38
274,Europe,Belarus,1998,3556,9694800,1570,36.68
275,Europe,Belarus,1999,3397,9563200,1269,35.52
276,Europe,Belarus,2000,3483,9543479,1335,36.5
277,Europe,Belarus,2001,3303,9513587,1299,34.72
278,Europe,Belarus,2002,3291,9469234,1541,34.75
279,Europe,Belarus,2003,3456,9420691,1892,36.69
280,Europe,Belarus,2007,2659,9244456,4898,28.76
281,Europe,Belarus,2008,2658,9205746,6601,28.87
282,Europe,Belarus,2009,2743,9169969,5366,29.91
283,Europe,Belarus,2010,2459,8981193,6371,27.38
284,Europe,Belarus,2011,2172,8947320,6902,24.28
285,Europe,Belarus,2013,1902,8910240,8477,21.35
286,Europe,Belarus,2014,1741,8906977,8849,19.55
287,Europe,Belgium,1985,2281,9269600,9356,24.61
288,Europe,Belgium,1986,2202,9287100,12992,23.71
289,Europe,Belgium,1987,2238,9291300,16165,24.09
290,Europe,Belgium,1988,1996,9319300,17509,21.42
291,Europe,Belgium,1989,1920,9349200,17659,20.54
292,Europe,Belgium,1990,1895,9369700,22032,20.22
293,Europe,Belgium,1991,1805,9396600,22523,19.21
294,Europe,Belgium,1992,1878,9428100,25036,19.92
295,Europe,Belgium,1993,2142,9462900,23875,22.64
296,Europe,Belgium,1994,2131,9497400,25922,22.44
297,Europe,Belgium,1995,2155,9527100,30394,22.62
298,Europe,Belgium,1996,2013,9557545,29438,21.06
299,Europe,Belgium,1997,2146,9576223,26609,22.41
300,Europe,Belgium,1998,2019,9620997,27087,20.99
301,Europe,Belgium,1999,1857,9648277,26969,19.25
302,Europe,Belgium,2000,2143,9674025,24592,22.15
303,Europe,Belgium,2001,2165,9710055,24494,22.3
304,Europe,Belgium,2002,2076,9758570,26526,21.27
305,Europe,Belgium,2003,2091,9804122,32538,21.33
306,Europe,Belgium,2004,1987,9848022,37661,20.18
307,Europe,Belgium,2005,2029,9901014,39124,20.49
308,Europe,Belgium,2006,1935,9962702,41135,19.42
309,Europe,Belgium,2007,1857,10030266,47040,18.51
310,Europe,Belgium,2008,1999,10100850,51345,19.79
311,Europe,Belgium,2009,2013,10173366,47630,19.79
312,Europe,Belgium,2010,2013,10211171,47355,19.71
313,Europe,Belgium,2011,2088,10355126,50893,20.16
314,Europe,Belgium,2012,2026,10442637,47678,19.4
315,Europe,Belgium,2013,1895,10526149,49489,18.0
316,Europe,Belgium,2014,1899,10578848,50173,17.95
317,Europe,Belgium,2015,1867,10624356,42830,17.57
318,N. america,Belize,1986,3,146800,1552,2.04
319,N. america,Belize,1987,4,144069,1920,2.78
320,N. america,Belize,1989,1,153088,2372,0.65
321,N. america,Belize,1990,3,158000,2614,1.9
322,N. america,Belize,1991,2,162200,2742,1.23
323,N. america,Belize,1993,1,170800,3278,0.59
324,N. america,Belize,1994,8,170874,3399,4.68
325,N. america,Belize,1995,14,180500,3436,7.76
326,N. america,Belize,1996,8,180926,3545,4.42
327,N. america,Belize,1997,1,187650,3487,0.53
328,N. america,Belize,1998,12,195108,3531,6.15
329,N. america,Belize,1999,18,202699,3615,8.88
330,N. america,Belize,2000,18,210109,3960,8.57
331,N. america,Belize,2001,19,217279,4013,8.74
332,N. america,Belize,2002,14,224136,4161,6.25
333,N. america,Belize,2003,12,230890,4289,5.2
334,N. america,Belize,2004,20,237791,4449,8.41
335,N. america,Belize,2005,12,245020,4547,4.9
336,N. america,Belize,2006,11,252826,4815,4.35
337,N. america,Belize,2007,8,260667,4951,3.07
338,N. america,Belize,2008,11,268487,5098,4.1
339,N. america,Belize,2009,15,276189,4841,5.43
340,N. america,Belize,2010,15,283796,4923,5.29
